MUN_ID,MUN_NAME,2022_VOL_m³,2023_VOL_m³,2024_VOL_m³,2025_VOL_m³,WATER_SOURCE,2022_URL,2023_URL,2024_URL,2025_URL
1,City of Kelowna,"14,255,000.00","15,835,000.00","15,008,000.00",,Surface Water,https://www.kelowna.ca/sites/files/1/docs/related/report_-_annual_water_and_filtration_deferral_2022_website.pdf,https://www.kelowna.ca/sites/files/1/annual_water_and_filtration_deferral_2023.pdf,https://www.kelowna.ca/sites/files/1/annual_water_and_filtration_deferral_2024_final.pdf,
2,Greater Vernon Water,,"18,642,000.00","17,362,000.00",,Mixed,,https://www.rdno.ca/sites/default/files/2025-09/2023_GVW_Annual_RPT_FNL.pdf,,
3,City of Salmon Arm,"3,560,114.00","3,715,202.00","3,412,571.00","3,399,327.00",Surface Water,https://www.salmonarm.ca/DocumentCenter/View/4416/2022--Annual-Water-Report,https://www.salmonarm.ca/DocumentCenter/View/5260,https://www.salmonarm.ca/DocumentCenter/View/6697/2024--Water-Quality-Report,https://www.salmonarm.ca/DocumentCenter/View/7250/2025---Annual-Water-Report?bidId=
4,City of Penticton,"6,986,200.00","7,557,650.00","6,720,000.00",,Surface Water,https://www.penticton.ca/sites/default/files/docs/city-services/water-wastewater/2023-08-21-PDF-2022%20Annual%20Report%20-%20Water%20Treatment%20Plant.pdf,https://www.penticton.ca/sites/default/files/2024-10/2023%20Water%20Treatment%20Plant%20Annual%20Report.pdf,https://www.penticton.ca/sites/default/files/2025-07/2024%20WTP%20Annual%20Report.pdf,
5,City of West Kelowna ,"6,964,532.00","7,398,568.00","6,867,834.00","7,663,610.00",Surface Water,Trevor Paille - Design and Inspection Technologist for City of West Kelowna,Trevor Paille - Design and Inspection Technologist for City of West Kelowna,Trevor Paille - Design and Inspection Technologist for City of West Kelowna,Trevor Paille - Design and Inspection Technologist for City of West Kelowna
6,District of Sicamous,"694,360.00","543,696.00","410,644.00","449,431.00",Surface Water,https://sicamous.civicweb.net/filepro/documents/51464/?preview=111087,Email from TMaier@sicamous.ca,Email from TMaier@sicamous.ca,Email from TMaier@sicamous.ca
7,District of Lake Country,"7,140,962.00","7,908,575.00","7,183,407.00","8,245,466.00",Surface Water,https://www.lakecountry.bc.ca/media/file/2022-water-operations-annual-report,https://www.lakecountry.bc.ca/media/file/2023-water-operations-annual-report,https://www.lakecountry.bc.ca/media/file/2024-water-operations-annual-report,https://www.lakecountry.bc.ca/media/file/2025-water-operations-annual-report
8,District of Naramata ,"1,585,387.00","1,724,845.00",,,Surface Water,https://www.rdos.bc.ca/assets/Uploads/20240315-RPT-NaramataWaterAnnualReport2022Final.pdf,https://www.rdos.bc.ca/assets/Uploads/20240315-RPT-NaramataWaterAnnualReport2023Final.pdf,,
9,Sage Mesa Water Utility ,"235,672.00","253,440.00",,,Surface Water,https://www.rdos.bc.ca/assets/Uploads/20240402-RPT-SageMesaWaterAnnualReport2022Final.pdf,https://www.rdos.bc.ca/assets/Uploads/20240402-RPT-SageMesaWaterAnnualReport2023Final.pdf,,
10,Town of Oliver,"10,074,122.00","10,839,047.00","11,217,844.00","11,709,354.00",Mixed,https://www.oliver.ca/sites/oliver.ca/files/2023-04/2022%20Annual%20Water%20Report%20-%20Final.pdf,https://www.oliver.ca/sites/oliver.ca/files/2024-04/2023%20Annual%20Water%20Report.pdf,https://www.oliver.ca/sites/oliver.ca/files/2025-06/2024%20Annual%20Water%20Report%20%281%29.pdf,https://www.oliver.ca/sites/oliver.ca/files/2026-05/2025%20Annual%20Water%20Report%20%283%29.pdf
